Album,Song,Total Weighted Score,Enjoyability,Emotional Impact,Messaging,Lyricism,Nostalgia / Longetivity,Overall Sound,Total RAW Score,Enjoy,Emotion,Message,Lyricism,Nostalgia,Overall Sound,Single Released,On Original Album,Deluxe or TV Album,Track,First Release,Re- Release,Favorite Lyric,Notes/Alternate Versions
evermore,evermore (ft. Bon Iver),4.81,4,6,5,5,4,5,29,0.88,0.90,0.25,1.55,0.48,0.75,FALSE,TRUE,FALSE,9.15,2020,,,
The Tortured Poets Department,loml,4.80,2,6,4,5,3,9,29,0.44,0.90,0.20,1.55,0.36,1.35,FALSE,TRUE,FALSE,11.12,2024,,,
SINGLE: Fifty Shades Darker (Original Motion Picture Soundtrack),I Don't Wanna Live Forever (Zayn Malik and Taylor Swift),4.80,7,1,5,4,6,6,29,1.54,0.15,0.25,1.24,0.72,0.90,TRUE,FALSE,FALSE,100.09,2016,,,
The Tortured Poets Department,The Alchemy,4.71,7,6,6,5,1,2,27,1.54,0.90,0.30,1.55,0.12,0.30,FALSE,TRUE,FALSE,11.15,2024,,,
folklore,mad woman,4.68,5,5,7,5,4,3,29,1.10,0.75,0.35,1.55,0.48,0.45,FALSE,TRUE,FALSE,8.12,2020,,,long pond studio sessions
folklore,hoax,4.56,5,6,4,5,3,3,26,1.10,0.90,0.20,1.55,0.36,0.45,FALSE,TRUE,FALSE,8.16,2020,,,long pond studio sessions
Speak Now,Mean TV,4.54,3,2,7,5,4,8,29,0.66,0.30,0.35,1.55,0.48,1.20,TRUE,TRUE,FALSE,3.06,2010,2023,,
Midnights (3am Edition),High Infidelity,4.54,3,5,4,5,4,6,27,0.66,0.75,0.20,1.55,0.48,0.90,FALSE,FALSE,FALSE,10.17,2022,,,
evermore,gold rush,4.53,3,5,6,6,3,4,27,0.66,0.75,0.30,1.86,0.36,0.60,FALSE,TRUE,FALSE,9.03,2020,,,
Red,Ronan TV,4.53,2,6,6,7,1,4,26,0.44,0.90,0.30,2.17,0.12,0.60,TRUE,FALSE,TRUE,4.20,2012,2021,,
The Tortured Poets Department,Florida!!! (ft. Florence + The Machine),4.46,5,1,6,6,5,3,26,1.10,0.15,0.30,1.86,0.60,0.45,FALSE,TRUE,FALSE,11.08,2024,,,
Lover,Paper Rings,4.45,4,5,3,3,7,6,28,0.88,0.75,0.15,0.93,0.84,0.90,FALSE,TRUE,FALSE,7.08,2019,,,
Speak Now TV,Timeless TV FTV,4.43,1,5,6,7,2,5,26,0.22,0.75,0.30,2.17,0.24,0.75,FALSE,FALSE,TRUE,3.23,2023,,,
1989 TV,"""Slut!"" TV FTV",4.41,2,5,5,6,3,5,26,0.44,0.75,0.25,1.86,0.36,0.75,FALSE,FALSE,TRUE,5.17,2023,,,
evermore,tis the damn season,4.31,6,3,3,5,2,4,23,1.32,0.45,0.15,1.55,0.24,0.60,FALSE,TRUE,FALSE,9.04,2020,,,
Debut (Taylor Swift),Teardrops on My Guitar,4.30,4,5,4,4,4,5,26,0.88,0.75,0.20,1.24,0.48,0.75,TRUE,TRUE,FALSE,1.03,2006,,,Radio Single Remix; Pop Version; Acoustic Version; International Mix
SINGLE: Cats,Beautiful Ghosts,4.21,1,5,4,4,5,8,27,0.22,0.75,0.20,1.24,0.60,1.20,TRUE,FALSE,FALSE,100.10,2019,,,
Lover,It's Nice To Have A Friend,4.20,1,6,6,5,4,5,27,0.22,0.90,0.30,1.55,0.48,0.75,FALSE,TRUE,FALSE,7.17,2019,,,
Speak Now,Innocent TV,4.17,2,5,7,5,4,4,27,0.44,0.75,0.35,1.55,0.48,0.60,FALSE,TRUE,FALSE,3.11,2010,2023,,
Lover,False God,4.15,2,3,5,7,2,4,23,0.44,0.45,0.25,2.17,0.24,0.60,FALSE,TRUE,FALSE,7.13,2019,,,
SINGLE: Hannah Montana: The Movie,Crazier,4.14,1,5,6,5,6,4,27,0.22,0.75,0.30,1.55,0.72,0.60,FALSE,FALSE,FALSE,100.05,2009,,,
Red,We Are Never Ever Getting Back Together TV,4.12,4,2,3,3,8,6,26,0.88,0.30,0.15,0.93,0.96,0.90,TRUE,TRUE,FALSE,4.08,2012,2021,,
Red,The Moment I Knew TV,4.11,2,6,4,5,1,6,24,0.44,0.90,0.20,1.55,0.12,0.90,FALSE,FALSE,TRUE,4.17,2012,2021,,
Speak Now,Dear John TV,4.09,1,5,5,5,6,4,26,0.22,0.75,0.25,1.55,0.72,0.60,FALSE,TRUE,FALSE,3.05,2010,2023,,
The Tortured Poets Department,Down Bad,3.99,6,3,6,3,2,5,25,1.32,0.45,0.30,0.93,0.24,0.75,FALSE,TRUE,FALSE,11.04,2024,,,
Red,Come Back...Be Here TV,3.98,4,7,5,3,1,5,25,0.88,1.05,0.25,0.93,0.12,0.75,FALSE,FALSE,TRUE,4.18,2012,2021,,
1989,I Know Places TV,3.97,1,3,5,5,5,6,25,0.22,0.45,0.25,1.55,0.60,0.90,FALSE,TRUE,FALSE,5.12,2014,2023,,Voice Memo
Speak Now,Haunted TV,3.94,2,4,5,4,3,7,25,0.44,0.60,0.25,1.24,0.36,1.05,FALSE,TRUE,FALSE,3.12,2010,2023,,Acoustic Version
Lover,I Think He Knows,3.94,2,2,7,6,2,5,24,0.44,0.30,0.35,1.86,0.24,0.75,FALSE,TRUE,FALSE,7.06,2019,,,
Reputation,Look What You Made Me Do,3.94,4,3,5,2,7,6,27,0.88,0.45,0.25,0.62,0.84,0.90,TRUE,TRUE,FALSE,6.06,2017,,,
The Tortured Poets Department,My Boy Only Breaks His Favorite Toys,3.93,5,2,5,6,1,2,21,1.10,0.30,0.25,1.86,0.12,0.30,FALSE,TRUE,FALSE,11.03,2024,,,
Reputation,New Year's Day,3.92,1,4,5,6,2,5,23,0.22,0.60,0.25,1.86,0.24,0.75,TRUE,TRUE,FALSE,6.15,2017,,,
The Tortured Poets Department: The Anthology,Robin,3.90,1,4,7,3,5,8,28,0.22,0.60,0.35,0.93,0.60,1.20,FALSE,FALSE,TRUE,11.30,2024,,,
Lover,Afterglow,3.84,2,3,5,6,2,4,22,0.44,0.45,0.25,1.86,0.24,0.60,FALSE,TRUE,FALSE,7.15,2019,,,
